V1,V2,V3,V4,V5,V6,V7,V8,V9,Y1,Y2,Y3,Y
0.68,0.286587854,0.286587854,0.286587854,0.286587854,0.047607279,0.045898628,0.047884071,0.042609603,1,1,1,7
0.666666667,0.339763688,0.339763688,0.339763688,0.339763688,0.031756179,0.030406224,0.032968389,0.02896691,1,0,0,1
0.733333333,0.681345194,0.681345194,0.681345194,0.681345194,0.047846101,0.043410606,0.042438691,0.037742234,0,1,0,2
0.186666667,0.484656433,0.484656433,0.484656433,0.484656433,0.100836912,0.090617269,0.099438291,0.087481301,0,0,1,4
0.293333333,0.278343233,0.278343233,0.278343233,0.278343233,0.095821613,0.086359945,0.08889898,0.077713642,1,1,1,7
0.32,0.296313486,0.296313486,0.296313486,0.296313486,0.109345899,0.10161545,0.097911778,0.087445208,1,0,1,5
0.853333333,0.387320391,0.387320391,0.387320391,0.387320391,0.057942579,0.053101423,0.05133911,0.046175228,1,1,1,7
0.866666667,0.457831522,0.457831522,0.457831522,0.457831522,0.019490183,0.018949444,0.013930751,0.014140758,0,0,0,0
0.426666667,0.353011097,0.353011097,0.353011097,0.353011097,0.059253538,0.060814452,0.052703749,0.050225643,1,1,0,3
0.973333333,0.608231147,0.608231147,0.608231147,0.608231147,0.02778818,0.026945292,0.026102996,0.024425121,0,1,0,2
0.76,0.621231107,0.621231107,0.621231107,0.621231107,0.054611671,0.049565006,0.048835659,0.043379919,0,1,1,6
0.346666667,0.240355876,0.240355876,0.240355876,0.240355876,0.073830901,0.072751631,0.065436409,0.060641326,1,0,1,5
0.346666667,0.352016728,0.352016728,0.352016728,0.352016728,0.029083198,0.030306195,0.025535397,0.024056362,1,0,0,1
0.52,0.341260239,0.341260239,0.341260239,0.341260239,0.054241721,0.055908721,0.051754921,0.048883905,1,0,1,5
0.706666667,0.429239669,0.429239669,0.429239669,0.429239669,0.044519805,0.040732135,0.043929932,0.038229403,1,1,0,3
0.773333333,0.495940032,0.495940032,0.495940032,0.495940032,0.034526133,0.031038322,0.03163923,0.027726159,1,1,0,3
0.973333333,0.523352691,0.523352691,0.523352691,0.523352691,0.026862112,0.026496241,0.022634769,0.022209249,1,1,0,3
0,0.634450656,0.634450656,0.634450656,0.634450656,0.759274141,0.76104045,0.764341565,0.766663661,0,0,1,4
0.826666667,0.455888465,0.455888465,0.455888465,0.455888465,0.051601075,0.04830037,0.042824128,0.040295137,0,0,0,0
0.733333333,0.546093031,0.546093031,0.546093031,0.546093031,0.089864401,0.080338313,0.082122319,0.072201964,0,1,1,6
0.906666667,0.527855764,0.527855764,0.527855764,0.527855764,0.046726433,0.043725664,0.038025621,0.035831519,1,1,0,3
0.48,0.734927737,0.734927737,0.734927737,0.734927737,0.041156546,0.042484155,0.041379026,0.038489536,0,1,0,2
