V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
0.66,0.00542608,0.000501437,0.000249791,0.00018482,0.265334032,0.197675691,0.160695082,0.171980557,3.290282186,2.59315185,2.052309926,2.210347013
0.56,0.004613319,0.000426327,0.000212376,0.000157136,0.244692902,0.188104142,0.143719125,0.158064652,3.290282186,2.59315185,2.052309926,2.210347013
0.72,0.005109419,0.000472173,0.000235214,0.000174034,0.224759844,0.163785384,0.13346327,0.142312387,3.290282186,2.59315185,2.052309926,2.210347013
0.71,0.004876724,0.000450669,0.000224501,0.000166108,0.241642318,0.179909656,0.145596364,0.156150526,3.290282186,2.59315185,2.052309926,2.210347013
0.7,0.005009703,0.000462958,0.000230623,0.000170637,0.218407198,0.160033718,0.130655087,0.13956909,3.290282186,2.59315185,2.052309926,2.210347013
0.75,0.005863915,0.000541898,0.000269947,0.000199733,0.241992392,0.176717655,0.14014164,0.150234688,3.290282186,2.59315185,2.052309926,2.210347013
0.34,0.005372045,0.000496443,0.000247304,0.000182979,0.31966825,0.237281315,0.197239052,0.21068794,3.290282186,2.59315185,2.052309926,2.210347013
0.42,0.004856106,0.000448764,0.000223552,0.000165405,0.312316642,0.231819392,0.186681655,0.198816251,3.290282186,2.59315185,2.052309926,2.210347013
0.44,0.004901045,0.000452917,0.000225621,0.000166936,0.332141033,0.251391401,0.19570992,0.210644072,3.290282186,2.59315185,2.052309926,2.210347013
0.84,0.005128631,0.000473949,0.000236098,0.000174688,0.256792177,0.189150462,0.149057332,0.160484215,3.290282186,2.59315185,2.052309926,2.210347013
0.85,0.005304962,0.000490244,0.000244216,0.000180694,0.200427255,0.145335274,0.11158478,0.121549269,3.290282186,2.59315185,2.052309926,2.210347013
0.52,0.005042832,0.00046602,0.000232148,0.000171766,0.258713827,0.199045873,0.150424313,0.165407121,3.290282186,2.59315185,2.052309926,2.210347013
0.93,0.005681075,0.000525001,0.00026153,0.000193505,0.212590762,0.155593526,0.123777912,0.134048965,3.290282186,2.59315185,2.052309926,2.210347013
0.77,0.005713585,0.000528006,0.000263027,0.000194612,0.25190961,0.184613425,0.146549585,0.157086775,3.290282186,2.59315185,2.052309926,2.210347013
0.46,0.004761109,0.000439985,0.000219179,0.00016217,0.280081857,0.214360643,0.163178822,0.178066424,3.290282186,2.59315185,2.052309926,2.210347013
0.46,0.005040345,0.00046579,0.000232034,0.000171681,0.214489047,0.159905387,0.123209339,0.133600772,3.290282186,2.59315185,2.052309926,2.210347013
0.59,0.005013446,0.000463304,0.000230795,0.000170765,0.251367324,0.192752078,0.149473857,0.163776363,3.290282186,2.59315185,2.052309926,2.210347013
0.73,0.005233461,0.000483636,0.000240924,0.000178259,0.237116586,0.173281318,0.14163544,0.150826797,3.290282186,2.59315185,2.052309926,2.210347013
0.78,0.005400262,0.000499051,0.000248603,0.00018394,0.222467498,0.160844667,0.129323647,0.138061072,3.290282186,2.59315185,2.052309926,2.210347013
0.93,0.005468815,0.000505386,0.000251759,0.000186275,0.211233297,0.155017416,0.120303734,0.131355776,3.290282186,2.59315185,2.052309926,2.210347013
0.2,0.005746643,0.000531061,0.000264548,0.000195738,1.284829489,1.097398911,0.863283313,1.036171511,3.290282186,2.59315185,2.052309926,2.210347013
0.82,0.005300103,0.000489795,0.000243992,0.000180529,0.247496569,0.182990965,0.140527738,0.153337507,3.290282186,2.59315185,2.052309926,2.210347013
0.75,0.005525683,0.000510641,0.000254376,0.000188212,0.303584344,0.224093957,0.179893365,0.192117314,3.290282186,2.59315185,2.052309926,2.210347013
0.88,0.005480076,0.000506426,0.000252277,0.000186659,0.240351142,0.177121857,0.135720997,0.147912389,3.290282186,2.59315185,2.052309926,2.210347013
0.56,0.005997912,0.000554281,0.000276116,0.000204297,0.232186598,0.175529068,0.139080156,0.151142965,3.290282186,2.59315185,2.052309926,2.210347013
0.68,0.00562035,0.00051939,0.000258735,0.000191437,0.255012428,0.187525085,0.153032164,0.163259761,3.290282186,2.59315185,2.052309926,2.210347013
0.48,0.005662967,0.000523328,0.000260696,0.000192888,0.19935511,0.151603148,0.114329981,0.125601303,3.290282186,2.59315185,2.052309926,2.210347013
0.52,0.005672608,0.000524219,0.00026114,0.000193217,0.276283449,0.214179484,0.163981921,0.180678601,3.290282186,2.59315185,2.052309926,2.210347013
0.81,0.005149745,0.0004759,0.00023707,0.000175407,0.241715888,0.177821433,0.137241978,0.14889895,3.290282186,2.59315185,2.052309926,2.210347013
0.31,0.005120388,0.000473187,0.000235719,0.000174407,0.273290957,0.210085188,0.172474022,0.193196133,3.290282186,2.59315185,2.052309926,2.210347013
0.38,0.005272367,0.000487232,0.000242715,0.000179584,0.26154275,0.192288839,0.155496344,0.165614506,3.290282186,2.59315185,2.052309926,2.210347013
0.92,0.005646711,0.000521826,0.000259948,0.000192335,0.256573447,0.191688153,0.148017009,0.161832932,3.290282186,2.59315185,2.052309926,2.210347013
0.42,0.005539496,0.000511918,0.000255012,0.000188683,0.280140417,0.20972913,0.163557285,0.175846461,3.290282186,2.59315185,2.052309926,2.210347013
0.33,0.005328329,0.000492403,0.000245291,0.00018149,0.250645677,0.184761517,0.154159963,0.166169577,3.290282186,2.59315185,2.052309926,2.210347013
0.21,0.005672247,0.000524185,0.000261124,0.000193204,1.262918572,1.078293456,0.84861698,1.017821422,3.290282186,2.59315185,2.052309926,2.210347013
0.77,0.004935131,0.000456067,0.00022719,0.000168097,0.256548247,0.188825762,0.153333849,0.163155926,3.290282186,2.59315185,2.052309926,2.210347013
0.4,0.004951964,0.000457622,0.000227965,0.000168671,0.279686641,0.205927879,0.167615353,0.178079393,3.290282186,2.59315185,2.052309926,2.210347013
0.57,0.005487301,0.000507094,0.00025261,0.000186905,0.251588964,0.192429588,0.150243425,0.164209937,3.290282186,2.59315185,2.052309926,2.210347013
