V_PCA1,V_PCA2,V_PCA3,V_PCA4,V_PCA5,V_PCA6
0.026450242,-0.624326503,-0.100294876,0.00028052,0.004093484,0.000363506
0.218898079,-0.233677759,0.018280738,0.004759835,-0.000783405,8.67E-05
0.190684775,-0.419546781,0.024117916,0.004702505,-0.000654024,0.000914431
0.200219035,-0.312544414,-0.004956588,0.006043986,4.83E-05,0.000367015
0.2499878,0.368088917,0.072271709,-0.000772744,-0.000881025,-0.00042984
-0.252341142,-0.010223444,-0.190111809,-0.001801431,-0.007860717,6.90E-05
-0.165795902,-0.425621048,-0.14736861,-0.005459391,-0.006300857,-0.000140516
-0.158594203,-0.390732912,-0.111329633,-0.010185528,-0.004275757,1.91E-04
0.323723945,-0.223371145,0.144974161,-0.000117418,-0.001516552,-0.000294835
0.380031685,-0.082067083,0.100614384,0.002419417,0.0032678,-0.001333221
-0.019385101,-0.279596237,-0.111747452,-0.003647411,0.003837552,0.000195716
0.457596228,0.215283946,0.188924544,0.005172789,0.001616507,9.85E-06
0.261445249,0.247011025,0.095305842,-0.000961884,-0.001598178,-0.000260021
-0.101612646,-0.502726452,-0.14684505,-0.00587878,0.001580528,4.77E-05
-0.047879712,-0.278653201,-0.205782578,-0.000221939,0.003798383,-0.000662317
0.057763364,-0.305735926,-0.060173491,0.000733836,0.002953779,0.000750813
0.221640668,-0.135072056,0.041264159,0.00403329,-0.001839357,0.00033387
0.289611945,-0.00346298,0.068665962,0.002932638,-0.000528237,-0.00043317
0.456920182,0.045640364,0.181724204,0.00360136,0.002769842,-0.000590744
-1.212201657,0.280859034,0.761149712,0.000533471,-0.002941917,5.22E-04
0.312737952,-0.085395068,0.122159679,-0.001731861,0.000906982,-0.001136873
0.198688761,0.096917504,0.125778616,-0.003828665,-0.005966484,0.000144454
0.384158324,0.056234756,0.167377732,-0.001348567,0.001212847,-0.001000041
0.053753727,0.482637516,-0.082840993,0.001676743,0.002688727,0.000809851
0.160366729,0.175906625,0.026348644,0.001805436,-0.002715024,0.000444891
-0.0085944,0.218444287,-0.189282392,0.000157067,0.006989971,9.52E-06
-0.026195035,0.223574913,-0.078918177,-0.003814585,0.003156867,0.000883867
0.304727148,-0.205120052,0.104987249,-0.001056927,0.000611526,-0.00103371
-0.259336255,-0.209732917,-0.256121537,0.007231375,0.001259402,-0.000900199
-0.164569278,-0.090669264,-0.220296027,-0.002102575,-0.002709387,-0.000531371
0.414473886,0.187646293,0.221681419,-0.000815118,0.000764556,-0.00020464
-0.131830135,0.121079465,-0.165235481,-0.007030164,-0.001253711,-2.75E-04
-0.212274879,-0.043903071,-0.26547048,0.003828042,-0.002082992,-0.000733499
-1.18443787,0.221308272,0.744176175,0.000882599,-0.003006517,0.000742122
0.24542271,-0.375351913,0.086308319,0.002787739,-0.003067244,0.000686844
-0.161627936,-0.3478037,-0.192731331,-0.002132794,-0.004635954,-0.000294151
0.042704983,0.073824567,-0.066205374,0.000274122,0.002608095,0.000877179
0.389651648,-0.088859451,0.240653247,-0.003427543,-0.000271021,-0.00021083
0.076835118,0.594635823,-0.020084168,0.000573933,-0.00177146,0.000929969
-0.372575596,-0.375097823,-0.182840411,0.006627395,0.003963636,-0.001087545
0.194222581,-0.285521624,0.047766809,0.00347034,-0.002597213,0.000784623
-0.09370346,-0.12698703,-0.182816365,-0.004370314,0.002158786,-0.000540854
-0.079518625,-0.192912906,-0.117009068,-0.007207841,0.000582083,4.42E-05
-0.177603338,0.02279764,-0.219815465,-0.003342228,-0.003227603,-0.000572381
-0.046450208,-0.121439306,-0.112783216,-0.005503025,0.003339925,0.000170077
0.356689351,-0.203656284,0.1687275,-0.002140027,0.000889101,-0.000850464
0.406973,-0.353895075,0.14004974,0.002420414,0.001986657,-0.001173856
0.091438283,0.443444817,0.019270151,-0.000443154,-0.004022551,0.000917842
-0.540617101,0.199758179,-0.0033244,0.01035779,0.002647746,-0.000506452
-0.192987574,-0.696298431,-0.234287559,0.004029807,-0.002956334,-0.000417589
0.135252766,-0.055450189,-0.01766325,0.003745315,-0.000569611,0.001095924
0.261431013,-0.015837153,0.01724346,0.005657241,0.00062038,-0.000248316
0.391670697,0.010939373,0.177294164,0.000283498,0.001374464,-0.000425218
0.023510345,-0.164014293,-0.096326705,-0.001411808,0.004487876,0.000362126
-0.231926025,0.412597912,-0.240056718,0.002995575,-0.002986425,-0.000467037
-0.081203221,0.118531898,-0.143615362,-0.006583754,0.002966643,4.38E-05
0.294368895,0.202018545,0.13785093,-0.003444438,-0.0007225,-0.000630652
-0.298933235,-0.295358575,-0.20892535,0.006108048,2.22E-05,-0.000543247
0.266785538,0.178657343,0.063286416,1.10E-03,-0.000400189,-0.00059642
0.291034037,0.536287043,0.092647884,-0.002810949,0.001850369,-0.000970654
-0.012019633,0.435459334,-0.065337974,-0.004001597,0.002828527,0.001295822
-0.449382637,-0.107290294,-0.092437075,0.00659459,-2.87E-05,1.53E-04
-0.037483072,0.126419101,-0.134401136,-0.004239949,0.004747807,1.99E-04
-0.903759759,0.088320609,0.418000456,0.004170863,-8.76E-05,0.000105424
0.388961513,0.330008678,0.217856374,-0.000452378,-0.000179483,0.000164511
0.255836519,0.591114597,0.097190535,-0.003060093,-0.000539346,-0.000604783
0.134911965,0.069606472,-0.03307824,0.003987571,-0.000333707,0.000495927
0.161118048,-0.007256542,0.016621569,0.003211181,-0.001089378,0.000901831
-0.253440672,0.197593173,-0.178747337,-0.004091929,-0.008483229,-0.00011702
-0.268339114,0.363884653,-0.151515182,-0.00483172,-0.009987899,0.000122852
0.071225149,-0.411465149,-0.08266885,0.00266941,0.003710758,0.000554021
0.114623635,0.40449201,-0.012629718,0.001828062,-0.001631483,5.95E-04
0.197404224,-0.056708084,0.032742977,0.003510839,-0.00185558,0.000845442
-0.084516987,0.357492558,-0.127912023,-0.007414973,0.003769545,0.000505945
-0.070907045,0.099540322,-0.201536026,-0.003102948,0.00340086,-0.000485809
0.387774993,-0.116471606,0.176273223,-0.001010112,0.001429783,-0.00089107
-0.076395041,-0.265841762,-0.146377804,-0.005158718,0.000854588,-0.000326724
-0.185380882,-0.439725887,-0.18819543,-0.001430803,-0.006137663,1.46E-05
0.232553752,0.124177751,0.039530723,0.001890817,-0.000984763,-0.000366062
0.156626391,0.002812594,0.001091944,0.003554325,-0.000830301,0.000626994
-0.167775754,-0.333178659,-0.162215425,-0.005451621,-0.005362481,-0.000302998
0.236408605,0.494818967,0.095929222,-0.003433849,-0.001562293,-0.000326919
0.273049309,0.166257711,0.010905016,0.004425831,0.001776531,-0.000663943
-0.754863299,-0.27908171,0.229530459,0.000369508,0.002840463,-0.000374965
-0.003074319,0.064191284,-0.094645714,-0.002895788,0.004366915,0.000605186
0.305449465,-0.400175814,0.160199058,-0.000517758,-0.003690324,0.000161877
0.23945078,-0.128270668,0.018519105,0.005119798,-0.000351983,-7.08E-05
-0.217925946,0.097871558,-0.207690474,-0.001604457,-0.005885782,-0.000370019
0.466965137,0.57067373,0.215691037,-0.004918207,0.002663129,-0.002525793
0.165731729,0.154704753,-0.00344216,0.002808295,-0.001342002,0.000346861
0.336839483,0.06272382,0.163505635,-0.003274813,0.000322563,-7.99E-04
-0.214507559,0.150578123,-0.296963632,0.006010223,0.000603539,-0.000969118
0.223960017,0.270303853,0.035806093,0.001964874,-0.001341152,-0.000172589
0.105837606,-0.207666237,-0.008644272,2.04E-03,-0.000629948,0.001028244
-0.274742151,-0.277465984,-0.217553194,0.003598097,-0.003250073,-0.000246673
0.049067268,-0.536038244,-0.038055736,-0.001583976,0.00281693,0.000747084
-0.205598136,0.0934723,-0.223870739,-0.000618952,-0.004393012,-0.000534518
0.221776095,-0.022019533,0.112013216,-0.001845671,-0.004448856,0.000144868
-0.093436842,0.376493544,-0.202775928,-0.00480297,0.003755657,-0.000346955
0.387304029,-0.17180751,0.239744376,-0.004447885,-0.001617083,-0.000689572
0.307603964,-0.23468112,0.09980465,0.002838931,-0.001487891,-1.32E-04
-0.195969411,-0.009825097,-0.19760539,-0.002318975,-0.005662972,-0.000389809
-0.198451189,-0.29794751,-0.251840931,0.003207285,-0.002702686,-0.000688707
0.398712831,-0.240921437,0.177990331,-0.000529627,0.001466852,-0.000982591
